,text
270184,in  novosibirsk   russia  local residents are marching in  protest against the russian invasion of  ukraine   
271602,the anonymous collective is officially in cyber war against the russian government   anonymous  ukraine
271703,  the president of  ukraine has announced general mobilization 
271880,heartbreaking picture of  ukraine rn 
272318,today i woke up from the war  started in my city  i m from luhansk  now living in kiev and this is the second war in my life  in my country  please pray for me and my country  for all russians here   please don t be silent  i know that we all don t want this war   ukraine
272334,in tbilisi tonight  ukraine 
272995,in  vilnius   lithuania  thousands joined a protest outside  russia s embassy to demonstrate against putin s invasion of  ukraine  
273458,    detainees all over  russia by this hour 
274085,  vladimir zelensky called on the  eu to disconnect  russia from swift  impose an embargo on oil and gas trade  and help the  ukrainian army with arms and ammunition 
274327,  lithuania  following  latvia and the  czech republic  has suspended the issuance of visas to citizens of the  russian federation    this is an act of solidarity with  ukraine  which is under military aggression from  russia  
274854, arrest putin  not me  damn it    ukraine  russia 
277250,ukrainian refugees can enter the eu without visa  the neighboring states poland  slovakia  hungary  romania and moldova are prepared to welcome ukrainian refugees  spread the word   ukraine  standwithukraine
278243,  vladimir zelensky called on the  eu to disconnect  russia from swift  impose an embargo on oil and gas trade  and help the  ukrainian army with arms and ammunition 
279141,let s chill out a bit      wojna  rosja  ukraina  putin 
279419,   i stay in the capital with my people  my family is also in  ukraine   there is information that the enemy has marked me as target number    and my family   target number     vladimir zelensky  
279447,   i stay in the capital with my people  my family is also in  ukraine   there is information that the enemy has marked me as target number    and my family   target number     vladimir zelensky  
280559,diplomats say the us and albania have requested a vote for   p m  friday on a un security council draft resolution condemning  russia s military offensive in  ukraine and telling moscow to immediately withdraw its forces    text is  in blue     
280893, cnn reports    detained in anti war protests in  russia   antiwardemonstration  protest  breaking   
280944,a new     usdt donation to the aid of the ukrainian citizens  thank you our friends in czech republic       ukraine  aidukraine   standwithukraine
285316,  bit studios team statement   fuckthewar  ukraine    
286923, swift is our sharpest sword and was announced to hit in case of an attack  the swift exclusion of  russia must not fail because of germany   lanz
288105,    breaking      the enemy s sabotage forces had entered the capital  me and my family are staying here     ukraine  russia  putin
290410,around   people at the anarchist demonstration in  dresden again russian invasion to  ukraine  apart from demo there was a bigger solidarity rally in city center with around   people   russia  anarhism 
294138,the anonymous collective is officially in cyber war against the russian government   anonymous  ukraine
294352,the anonymous collective is officially in cyber war against the russian government   anonymous  ukraine
